Alimento,Categoria,Quant. (g),Energia (kcal),CHO (g),PTN (g),LIP (g),Fibra (g),Colesterol (mg),AG-Sat. (g),AG-Mono. (g),AG-Poli. (g),? 6 (g),? 3 (g),AG-trans (g),Ca (mg),Mg (mg),Mn (mcg),P (mg),Fe (mg),Na (mg),K (mg),Cu (mg),Zn (mg),Sel (mcg),Vit. A (mcg),Vit. B1 (mg),Vit. B2 (mg),Vit. B3 (mg),Vit. B5 (mg),Vit. B6 (mg),Vit. B12 (mcg),Vit. B9 (mcg),Vit. D (mcg),Vit. E (mg),Vit. C (mg)
Sal dietético,Miscelâneas,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,0.00,0.00,0.00,0.00,0.00,0.00,23431.00,20467.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00
Sal grosso,Miscelâneas,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,0.00,23.90,1.00,0.00,0.00,0.33,39943.00,5.99,0.00,0.10,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00
Sal refinado,Miscelâneas,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,0.00,23.90,1.00,0.10,0.00,0.33,39943.00,7.98,0.03,0.10,0.10,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00
Salame (porco),Miscelâneas,100,401.00,2.45,26.00,31.90,0.00,85.10,9.57,12.10,4.67,2.26,0.13,0.10,58.50,30.00,0.26,361.00,1.51,1919.00,545.00,0.18,6.53,770.00,1.01,0.88,0.23,12.50,-,0.00,0.12,0.00,0.91,0.65,0.00
Salgadinho (snack de trigo),Miscelâneas,100,477.00,66.80,7.70,20.70,3.40,1.00,9.08,7.80,2.60,4.72,0.59,0.16,41.00,24.00,0.95,198.00,1.12,609.00,156.00,0.14,0.81,17.40,0.00,0.18,0.04,0.40,-,0.04,0.00,29.00,0.00,4.13,6.00
Salada cozida,Miscelâneas,100,29.00,7.23,0.79,0.13,1.68,0.00,0.02,0.00,0.06,-,-,0.00,9.61,7.53,0.06,18.90,0.15,3.16,174.00,0.02,0.15,0.26,110.00,0.04,0.00,0.58,-,0.04,0.00,9.87,0.00,0.39,3.32
Salada crua,Miscelâneas,100,19.00,4.29,1.19,0.15,1.77,0.00,0.08,0.02,0.06,-,-,0.00,17.50,11.20,0.16,26.60,0.42,2.95,226.00,0.06,0.20,0.17,80.00,0.08,0.04,0.28,-,0.06,0.00,19.60,0.00,0.29,14.30
Salsicha,Miscelâneas,100,218.00,7.67,13.80,14.70,0.00,43.90,4.37,6.50,2.51,2.55,0.29,0.00,34.00,19.30,0.84,221.00,2.86,1194.00,190.00,0.26,2.75,6.00,0.00,0.05,0.14,0.11,-,0.15,1.41,5.38,0.51,0.11,0.00
Sanduíche vegetariano,Miscelâneas,100,127.00,19.80,5.20,3.73,2.93,8.73,1.94,0.98,0.39,-,-,0.07,58.90,27.70,0.60,87.40,1.28,215.00,180.00,0.08,0.68,1.97,52.50,0.06,0.06,0.17,-,0.07,0.04,45.80,0.05,0.95,25.20
Soja (bebida),Miscelâneas,100,55.00,9.67,1.76,1.16,0.12,0.00,0.20,0.30,0.60,-,-,0.01,16.50,15.50,0.15,52.90,0.43,56.50,121.00,0.08,0.28,0.45,0.00,0.00,0.00,0.00,-,0.00,0.00,60.30,0.00,0.00,0.00
Sorvete (ind.),Miscelâneas,100,209.00,26.60,3.50,10.10,0.93,35.70,6.26,3.09,0.43,0.27,0.17,0.00,120.00,14.00,0.08,100.00,0.21,60.00,188.00,0.04,0.34,1.90,110.00,0.05,0.26,0.17,-,0.05,0.30,12.00,0.20,0.30,7.70
Sushi,Miscelâneas,100,170.00,23.30,9.63,5.29,4.46,20.30,2.03,1.40,1.34,0.07,0.02,0.01,20.00,55.40,0.80,127.00,5.19,284.00,557.00,0.14,0.67,1.05,251.00,0.09,0.23,1.56,-,0.05,4.32,152.00,2.25,0.59,0.59
Tapioca,Miscelâneas,100,288.00,71.90,0.36,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.70,3.40,0.07,6.94,0.42,1.31,31.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00
Tomate (ind.),Miscelâneas,100,61.00,13.50,2.72,0.29,2.80,0.00,0.06,0.04,0.10,0.08,0.00,0.00,27.80,28.10,0.17,45.10,2.00,476.00,650.00,0.19,0.35,3.89,70.70,0.00,0.00,2.32,-,0.11,0.00,8.82,0.00,2.70,17.20
Tremoço (conserva),Miscelâneas,100,108.00,14.80,11.10,3.78,14.40,0.00,0.40,1.90,0.60,-,-,0.00,15.50,3.52,0.00,39.70,0.34,1808.00,5.20,0.27,0.64,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,65.90,0.00,0.00,0.00
Vinagre (arroz),Miscelâneas,100,47.00,11.80,0.20,0.00,0.00,0.00,0.00,0.00,0.00,-,-,0.00,2.00,6.00,0.00,15.00,0.10,12.00,16.00,0.00,0.20,0.00,0.00,0.01,0.01,0.30,-,0.02,0.10,0.00,0.00,0.00,0.00
Vinagre (balsâmico),Miscelâneas,100,92.70,22.70,0.49,0.00,0.00,0.00,0.00,0.00,0.00,-,-,0.00,27.00,12.00,0.13,19.00,0.72,23.00,112.00,0.03,0.08,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00
Vinagre (maçã),Miscelâneas,100,24.00,6.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,0.00,7.00,5.00,0.25,8.00,0.20,5.00,73.00,0.00,0.94,0.10,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00
Vinho,Miscelâneas,100,94.00,12.70,0.11,0.05,0.27,0.00,0.02,0.00,0.01,0.00,0.00,0.00,12.50,8.15,0.49,6.69,0.49,3.27,89.30,0.04,0.07,0.15,0.16,0.00,0.02,0.11,-,0.03,0.00,0.83,0.00,0.05,0.10
Xarope (frutas),Miscelâneas,100,260.00,65.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,0.00,0.00,1.00,0.00,0.00,0.03,0.00,1.00,0.01,0.06,0.40,0.00,0.01,0.01,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00
Xarope (maple),Miscelâneas,100,268.00,67.00,0.04,0.06,0.00,0.00,0.01,0.01,0.02,-,-,0.00,102.00,21.00,2.91,2.00,0.11,12.00,212.00,0.02,1.47,0.60,0.00,0.07,1.27,0.08,-,0.00,0.00,0.00,0.00,0.00,0.00
Yakisoba,Miscelâneas,100,122.00,18.30,7.52,2.61,1.06,14.90,0.58,0.87,0.99,15.35,1.98,0.01,13.90,13.30,0.15,83.00,0.62,793.00,158.00,0.06,0.68,9.84,31.00,0.16,0.00,2.09,-,0.00,0.00,0.00,0.00,0.40,0.00
